
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x05","0x06","0x08","0x0C","0x0E","0x35","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x9C","0x9F","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104","0x105"
"","","","Opcode >","PUSH0","PUSHBYTES1","5","6","8","12","14","53","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","EQUAL","NUMEQUAL","LT","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","Runtime.Notify","Storage.GetContext","Storage.Get","Storage.Put","Runtime.CheckWitness","Storage.Delete"
"lab5_domain.cs","34","                {","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","35","                    result = DeleteDomain(domain_name);","0.036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0.008","0.008","0","0","0.008","0.004","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0"
"lab5_domain.cs","36","                }","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0"
"lab5_domain.cs","37","                else if (operation == ''register'')","0.030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0.006","0.006","0","0","0.006","0.002","0","0.002","0","0","0","0.004","0.002","0","0","0","0","0","0","0"
"lab5_domain.cs","50","                else if (operation == ''transfer'')","0.030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0.006","0.006","0","0","0.006","0.002","0","0.002","0","0","0","0.004","0.002","0","0","0","0","0","0","0"
"lab5_domain.cs","51","                {","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","52","                    if (args.Length < 2)","0.030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0.006","0","0","0.006","0.002","0","0","0","0.002","0.002","0.004","0.002","0","0","0","0","0","0","0"
"lab5_domain.cs","58","                    {","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","59","                        byte[] to_address = (byte[])args[1];","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0.004","0","0","0.004","0.002","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0"
"lab5_domain.cs","60","                        result = TransferDomain(domain_name, to_address);","0.030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0.006","0.006","0","0","0.006","0.002","0.002","0","0","0","0","0.004","0.002","0","0","0","0","0","0","0"
